Joy,29,49,16,24,5
Mel,30,42,39,12,5
Joy,26,20,10,23,3
Mel,1,1,25,20,5
Joe,13,28,40,25,4
Joy,43,12,31,26,2
Jill,37,27,26,14,3
Sam,34,45,7,5,3
Joe,1,37,50,19,2
Mel,33,48,27,37,1
Joe,27,8,22,4,1
Sam,26,16,47,43,1
Mel,45,18,32,43,2
Joe,5,28,48,39,3
Jill,15,9,18,26,5
Mel,16,50,29,14,2
Mel,11,1,21,33,4
Joe,30,6,19,11,1
Joy,15,8,38,46,3
Joe,14,10,16,7,5
Sam,4,22,45,40,5
Sam,48,24,3,37,4
Sam,39,35,1,27,5
Mel,50,15,12,18,3
Sam,38,23,15,33,5
Joy,49,8,29,40,5
Joy,9,44,39,50,3
Jill,10,24,28,30,5
Jill,39,37,2,2,2
Joy,10,23,3,48,2
Mel,13,28,15,8,5
Jill,17,30,4,2,3
Mel,9,31,3,20,4
Mel,2,40,27,21,3
Joe,3,33,37,20,5
Joe,42,12,4,23,5
Joy,45,50,4,42,1
Joy,37,10,19,43,4
Mel,37,23,40,10,5
Sam,46,7,13,38,5
Mel,15,23,31,48,3
Sam,2,16,44,5,5
Mel,10,24,7,37,5
Mel,21,5,21,5,5
Sam,32,47,13,12,3
Mel,46,16,40,38,4
Jill,27,33,49,10,2
Jill,31,28,10,43,5
Joy,15,7,36,29,1
Sam,37,30,16,31,3
Joe,43,5,40,20,3
Sam,40,18,36,3,1
Mel,19,38,39,25,2
Joy,43,19,15,6,4
Jill,37,45,39,42,4
Mel,32,43,33,24,5
Mel,46,2,4,24,2
Joe,22,40,49,19,5
Joy,13,11,19,20,2
Sam,44,47,11,32,1
Sam,22,42,34,19,4
Joe,25,38,49,5,2
Jill,18,19,35,39,5
Mel,26,12,27,45,4
Joy,39,47,8,40,5
Sam,2,33,14,19,3
Joe,34,3,39,25,1
Sam,6,2,40,8,3
Joe,25,20,1,13,4
Mel,18,45,41,40,4
Sam,36,30,37,42,5
Sam,26,17,15,16,4
Joy,19,48,19,31,2
Jill,15,38,46,49,4
Jill,12,50,46,23,1
Joe,35,39,23,49,3
Mel,11,15,27,39,4
Joy,17,7,17,4,5
Mel,14,14,26,18,2
Joy,15,49,20,14,4
Joe,8,43,18,11,3
Jill,11,5,15,32,4
Jill,49,6,39,2,1
Joe,2,7,47,45,1
Joy,48,27,4,40,1
Sam,31,1,15,12,2
Sam,23,43,3,21,1
Joy,5,22,50,19,3
Jill,11,45,14,23,1
Joy,15,21,15,13,2
Jill,34,21,8,1,1
Joe,30,49,35,42,3
Joe,50,23,36,16,4
Mel,45,43,48,48,5
Sam,42,31,22,38,2
Joy,40,12,19,23,5
Jill,19,17,50,12,3
Joe,29,16,32,3,3
Joe,32,24,45,2,2
Sam,35,21,1,32,4
Jill,9,26,46,20,4
Sam,28,1,26,13,2
Joe,48,24,10,31,1
Sam,50,38,11,21,1
Joe,50,6,31,3,4
Joy,38,34,47,41,4
Mel,42,44,46,28,5
Joe,26,5,25,49,1
Joy,32,36,20,12,3
Jill,2,39,41,35,4
Jill,15,27,22,28,4
Jill,37,45,31,11,3
Sam,50,29,40,42,3
Joe,45,9,11,43,4
Joe,28,41,9,40,1
Sam,13,29,41,49,1
Jill,32,35,26,9,5
Jill,44,22,6,41,2
Joe,3,21,11,7,2
Mel,22,50,18,7,4
Joe,46,14,1,6,4
